date,symbol,side,posi_balance,posi_vwap,price,market_value
2024-09-19 16:00:00,SHSE.512200,多,44200,1.1775791558744682,1.199,52995.8
2024-09-20 16:00:00,SHSE.512200,多,66100,1.1879893873174323,1.217,80443.70000000001
2024-09-23 16:00:00,SHSE.512200,多,66100,1.1879893873174323,1.215,80311.5
2024-09-24 16:00:00,SHSE.512200,多,66100,1.1879893873174323,1.248,82492.8
2024-09-25 16:00:00,SHSE.512200,多,66100,1.1879893873174323,1.268,83814.8
2024-09-26 16:00:00,SHSE.512200,多,66100,1.1879893873174323,1.395,92209.5
2024-09-27 16:00:00,SHSE.512200,多,66100,1.1879893873174323,1.534,101397.40000000001
2024-09-30 16:00:00,SHSE.512200,多,66100,1.1879893873174323,1.6869999999999998,111510.69999999998
2024-10-16 16:00:00,SHSE.512200,多,13400,1.590999960899353,1.581,21185.399999999998
2024-10-17 16:00:00,SHSE.512200,多,13400,1.590999960899353,1.479,19818.600000000002
2024-10-18 16:00:00,SHSE.512200,多,13400,1.590999960899353,1.509,20220.6
2024-10-21 16:00:00,SHSE.512200,多,13400,1.590999960899353,1.5119999999999998,20260.799999999996
2024-10-22 16:00:00,SHSE.512200,多,13400,1.590999960899353,1.524,20421.6
2024-10-23 16:00:00,SHSE.512200,多,13400,1.590999960899353,1.5279999999999998,20475.199999999997
2024-10-24 16:00:00,SHSE.512200,多,13400,1.590999960899353,1.522,20394.8
2024-10-25 16:00:00,SHSE.512200,多,13400,1.590999960899353,1.549,20756.6
2024-10-28 16:00:00,SHSE.512200,多,13400,1.590999960899353,1.605,21507.0
2024-10-29 16:00:00,SHSE.512200,多,13400,1.590999960899353,1.573,21078.2
2024-11-07 16:00:00,SHSE.512200,多,20900,1.8600000143051147,1.831,38267.9
2024-11-08 16:00:00,SHSE.512200,多,20900,1.8600000143051147,1.7659999999999998,36909.399999999994
2024-11-11 16:00:00,SHSE.512200,多,20900,1.8600000143051147,1.738,36324.2
2024-11-12 16:00:00,SHSE.512200,多,20900,1.8600000143051147,1.729,36136.1
2024-11-28 16:00:00,SHSE.512200,多,17800,1.6200000047683716,1.633,29067.4
2024-11-29 16:00:00,SHSE.512200,多,17800,1.6200000047683716,1.64,29192.0
2024-12-02 16:00:00,SHSE.512200,多,17800,1.6200000047683716,1.681,29921.8
2024-12-03 16:00:00,SHSE.512200,多,17800,1.6200000047683716,1.693,30135.4
2024-12-04 16:00:00,SHSE.512200,多,17800,1.6200000047683716,1.6549999999999998,29458.999999999996
2024-12-05 16:00:00,SHSE.512200,多,17800,1.6200000047683716,1.666,29654.8
2024-12-06 16:00:00,SHSE.512200,多,17800,1.6200000047683716,1.69,30082.0
2024-12-09 16:00:00,SHSE.512200,多,17800,1.6200000047683716,1.637,29138.6
2024-12-10 16:00:00,SHSE.512200,多,17800,1.6200000047683716,1.656,29476.8
2024-12-11 16:00:00,SHSE.512200,多,17800,1.6200000047683716,1.691,30099.8
2025-04-17 16:00:00,SHSE.512200,多,23800,1.3990000486373901,1.406,33462.799999999996
2025-04-18 16:00:00,SHSE.512200,多,48000,1.407066671550274,1.428,68544.0
2025-04-21 16:00:00,SHSE.512200,多,72600,1.4121267421186463,1.4249999999999998,103454.99999999999
2025-04-22 16:00:00,SHSE.512200,多,96500,1.417296380576692,1.4329999999999998,138284.49999999997
2025-04-23 16:00:00,SHSE.512200,多,96500,1.417296380576692,1.41,136065.0
2025-04-24 16:00:00,SHSE.512200,多,96500,1.417296380576692,1.4169999999999998,136740.49999999997
2025-04-25 16:00:00,SHSE.512200,多,23900,1.417296380576692,1.402,33507.799999999996
2025-04-28 16:00:00,SHSE.512200,多,23900,1.417296380576692,1.353,32336.7
2025-04-29 16:00:00,SHSE.512200,多,23900,1.417296380576692,1.354,32360.600000000002
2025-04-30 16:00:00,SHSE.512200,多,23900,1.417296380576692,1.361,32527.9
2025-05-06 16:00:00,SHSE.512200,多,23900,1.417296380576692,1.373,32814.7
2025-05-07 16:00:00,SHSE.512200,多,23900,1.417296380576692,1.387,33149.3
2025-05-08 16:00:00,SHSE.512200,多,23900,1.417296380576692,1.385,33101.5
2022-01-18 16:00:00,SHSE.515400,多,28900,1.0110000371932983,1.014,29304.6
2022-01-19 16:00:00,SHSE.515400,多,59900,1.014105172507552,1.016,60858.4
2022-01-20 16:00:00,SHSE.515400,多,59900,1.014105172507552,1.006,60259.4
2022-01-21 16:00:00,SHSE.515400,多,90300,1.010366561140861,1.002,90480.6
2022-01-24 16:00:00,SHSE.515400,多,90300,1.010366561140861,1.005,90751.49999999999
2022-01-25 16:00:00,SHSE.515400,多,61400,1.010366561140861,0.965,59251.0
2022-10-17 16:00:00,SHSE.515400,多,40300,0.6819999814033508,0.679,27363.7
2022-10-18 16:00:00,SHSE.515400,多,40300,0.6819999814033508,0.673,27121.9
2022-10-19 16:00:00,SHSE.515400,多,75100,0.6731957232904497,0.669,50241.9
2022-10-20 16:00:00,SHSE.515400,多,75100,0.6731957232904497,0.675,50692.5
2022-10-21 16:00:00,SHSE.515400,多,75100,0.6731957232904497,0.678,50917.8
2022-10-24 16:00:00,SHSE.515400,多,75100,0.6731957232904497,0.675,50692.5
